"A.TWEX.PB.","B.ABI.PB.","H.HB.PB.","F.RCD.PB.","I.CPR.PB.","DGE.PB.","K.BBCA.PB.","K.CHRE.PB.","DK.CAB.PB.","DK.RBR.PB.","CN.KCM.PB.","CN.YWU.PB.","CN.JYB.PB.","CN.TTB.PB.","IN.MLC.PB.","IN.UBB.PB.","MX.BEC.PB.","BR.AVS.PB.","CL.CVZ.PB.","U.STZ.PB.","U.BF.B.PB.","U.TAP.PB.","U.SAM.PB."
6.64,124.83,91.22,111.53,4.99,25.02,0,1.7,97.42,46.72,267.98,29.78,71.1,30.34,6.83,11.71,0,4.91,10.88,160.31,39.26,93.98,179.18
6.69,123.45,90.79,111.1,4.97,25.08,0,1.72,96.19,46.88,264.02,28.94,67.77,29.75,6.73,11.69,0,4.91,10.46,157.39,38.2,92.3,173.64
6.63,123.16,91.08,111.49,5.04,25.1,0,1.71,96.73,47.14,260.18,28.37,66.45,29.3,6.72,11.69,0,4.9,10.8,158.95,38.49,93.12,176.62
6.53,122.3,90.42,111.35,4.96,24.92,0,1.72,94.87,46.69,253.84,28.36,66.77,29.99,6.45,11.12,0,4.81,10.67,157.43,38.03,92.82,176.76
6.52,122.47,90.87,112.19,4.9,25,0,1.72,95.88,46.68,255.17,28.33,67.32,30.04,6.65,11.32,0,4.85,10.72,156.96,38.39,92.89,178.64
6.67,125.06,92.22,114.19,4.93,25.24,0,1.76,94.64,45.86,252.31,28.51,67.47,30.15,6.77,11.32,0,4.86,10.74,156.09,38,92.89,178.8
6.64,126.79,93.03,115.09,4.97,25.33,0,1.76,96.65,46.27,252.93,28.75,68.38,30.19,6.79,11.28,0,4.95,10.74,156.81,38.1,95.73,177.68
6.8,129.16,93.84,115.38,4.89,25.38,0,1.77,96.73,46.13,255.02,28.84,67.74,30.09,6.79,11.26,0,5,10.74,156.7,38.23,96.83,179.67
6.84,129.62,94.27,115.84,4.88,25.26,0,1.77,97.35,46.04,253.73,28.1,66.6,29.62,6.85,11.17,0,5.01,10.46,158,37.97,96.67,179.48
6.83,133.02,95.9,117.97,5,25.57,0,1.77,99.74,46.09,253.16,27.79,66.22,29.72,6.97,10.99,0,5.06,10.78,157.3,38.64,97.73,176.48
6.8,133.77,95.96,119.59,5.03,25.59,0,1.77,99.2,45.47,247.96,27.29,66.28,28.93,6.96,10.92,0,5.07,10.74,156.02,39.01,96.78,177.84
6.8,132.04,94.63,113.76,4.98,25.19,0,1.89,98.58,45.11,250.25,27.37,67.93,28.86,6.79,10.96,0,5.07,10.72,155.22,37.52,95.49,173.15
6.73,130.72,94.38,111.28,4.92,24.86,0,1.93,97.78,45.58,257.66,27.91,69.6,28.97,6.92,10.74,0,5.06,10.7,154.82,37.29,95.65,159.4
6.65,131.81,93.58,111.4,4.95,24.84,0,2,97.19,45.96,254.65,28.26,70.43,28.84,6.94,11.03,0,5.05,10.69,156.8,37.61,96.46,157.48
6.62,130.6,93.41,110.53,4.97,24.69,0,1.99,97.58,45.69,254.08,28.42,70.34,29.24,6.85,10.79,0,5.08,10.46,156.25,37.34,95.97,156.4
6.66,130.43,94.27,110.59,5,24.59,0,2.04,98.82,45.58,254.96,28.86,70.71,29.22,6.7,10.76,0,5.11,10.64,156.66,37.78,95.83,156.49
6.65,129.85,94.49,109.96,4.93,24.64,0,2.04,99.36,44.43,256.73,28.67,69.59,29.47,6.71,10.84,0,5.14,10.67,155.53,38.18,95.65,155.32
6.59,124.6,94.39,108.72,4.86,24.25,0,2,97.81,45.42,261.86,29.58,70.41,30.25,6.76,10.81,0,5.08,10.76,156.08,38.5,95.61,155.95
6.83,125.76,94.6,109.98,4.84,24.27,0,1.98,97.73,45.27,268.63,31.8,73.28,31.13,6.72,10.98,0,5.15,10.68,157.8,38.67,96.74,158.37
7.03,124.72,94.15,108.09,4.82,24.43,0,1.99,97.27,44.68,270.69,32.29,74.5,31.4,6.96,11.04,0,5.18,10.74,158.45,38.35,98.32,154.23
7.16,122.64,93.39,107.8,4.86,24.36,0,2.02,96.19,44.62,266.7,31.92,72.57,30.92,7.13,10.47,0,5.16,10.67,158.84,38.3,98.15,152.51
7.09,125.76,94.07,108.94,4.88,24.59,0,2.02,96.36,44.79,268.5,31.66,72.77,30.93,7.41,10.84,0,5.06,10.45,159.17,38.38,98.43,154.39
7.18,125.99,94.39,109.85,4.91,24.58,0,2.01,97.6,45.03,262.36,30.52,69.83,29.84,7.36,10.88,0,4.98,10.53,159.61,38.91,98.27,154.21
7.39,127.49,95.57,111.39,5.05,24.86,0,1.99,99.05,45.3,261.02,30.48,70.41,30.1,7.36,11.21,0,4.99,10.47,161.12,39.23,99.11,153.65
7.53,129.22,95.85,111.46,5.06,24.82,0,2,98.89,45.31,262.46,30.95,69.76,30.81,7.52,11.03,0,5.04,10.47,163.46,39.56,99.95,154.25
7.4,128.24,95.38,110.33,4.96,24.77,0,2,95.88,44.71,267.43,31.58,70.93,31.9,7.67,11.24,0,4.98,10.62,162.91,39.14,99.52,152.04
