"A.ASBX.PB.","D.RHM.PB.","I.LDO.PB.","F.CSF.PB.","BA..PB.","RR..PB.","TK.ASE.PB.","IS.ESLT.PB.","U.NOC.PB.","U.RTX.PB.","U.HII.PB.","U.LMT.PB.","X.AXON.PB.","X.MANT.PB.","U.BWXT.PB.","U.CW.PB.","X.SWBI.PB.","U.GD.PB.","U.RGR.PB.","X.POWW.PB.","U.CACI.PB.","X.HON.PB."
1.06,76.93,12.95,87,6.55,2.95,0.83,102.53,194.38,58.19,137.57,220.74,18.72,31.64,33.84,73.99,22.44,135.24,76.29,3.66,100.72,107.53
1.04,78.24,12.96,88.39,6.65,2.89,0.81,106.4,194.97,58.46,138.42,221.26,18.38,30.89,33.53,73.55,22.32,134.28,76.27,3.65,100.16,106.79
1.04,79.07,12.95,88.77,6.55,2.89,0.83,105.31,194.2,58.42,137.3,217.91,18.27,31.08,33.93,74.63,20.36,129.1,69.72,3.65,99.37,106.04
1.05,79.05,12.88,88.7,6.51,2.87,0.84,103.39,193.98,58.17,136.6,217.31,17.99,30.96,33.95,73.99,19.96,128.49,67.53,3.64,98.24,105.94
1.07,78.77,12.83,88.65,6.56,2.85,0.84,104.36,194.82,58.33,137.05,218.99,18.31,31.19,33.77,73.78,20.67,130.8,69.49,3.63,100.14,106.21
1.06,79.16,12.89,88.87,6.66,2.87,0.84,102.99,196.7,59.06,138.22,220.8,19.51,32.22,33.94,75.73,20.99,131.85,71.17,3.62,105.77,106.54
1.05,80.37,13.04,89.29,6.72,2.93,0.85,103.44,198.69,59.14,138.51,222.97,19.61,32.27,34.21,75.26,20.73,131.69,69.58,3.61,106.2,106.8
1.14,80.46,12.85,88.8,6.69,2.9,0.85,101.55,197.9,59.04,136.94,221.5,19.63,31.99,33.56,75.66,20.44,131.37,68.34,3.6,106.7,106.68
1.12,80.72,12.72,87.78,6.58,2.82,0.85,102.09,200.32,58.98,137.4,223.11,19.04,31.99,33.75,75.32,21.31,132.34,71.57,3.59,106.68,107.81
1.12,80.36,13.09,88.36,6.58,2.8,0.86,103.44,201.12,59.13,137.9,224.07,18.61,31.81,33.16,74.79,17.5,131.69,65.23,3.58,104.58,107.13
1.06,76.76,12.8,87.61,6.47,2.77,0.87,102.76,202.29,58.91,137.28,225.58,18.53,31.53,32.68,74.63,17.92,130.8,65.46,3.58,103.9,106.44
1.07,78.41,12.8,88.19,6.49,2.8,0.87,102.93,202.12,59.21,140.65,226.65,18.68,31.49,32.67,75.45,18.03,131.74,67.46,3.57,105.98,107.64
1.04,75.75,12.35,87.83,6.46,2.78,0.88,104.51,200.58,59.51,138.92,226.51,18.6,31.14,32.38,75.25,18.19,131.37,66.8,3.56,104.64,106.29
1.04,76.73,12.64,88.21,6.54,2.84,0.89,104.91,200.54,59.77,139.36,226.27,18.3,31.12,32.36,75.25,17.86,132.94,66.11,3.55,105.12,106.7
1.02,77.15,12.7,87.55,6.55,2.82,0.89,107.09,199.52,60.26,139.1,224.61,18.45,31.17,32.36,75.05,17.54,131.9,65.27,3.55,104.69,106.57
1.03,76.86,12.26,87.71,6.59,2.8,0.92,106.37,200.15,60.8,141.31,226.03,18.83,31.05,32.59,75.93,17.43,133.53,64.99,3.54,103.67,107.62
1.05,79.21,12.6,87.35,6.61,2.87,0.95,107.75,201.13,61.72,143.08,226.37,19.51,31.77,33.03,76.86,17.39,134.34,66.53,3.53,106.29,109.23
1.05,79.34,12.52,87.48,6.7,2.86,0.94,107.87,200.06,61.74,143.55,225.34,19.31,31.54,32.89,75.95,17.4,133.56,67.24,3.52,106.19,108.99
1.04,77.68,12.52,87.77,6.72,2.83,0.94,108.7,201.83,61.64,142.94,225.73,19.13,31.38,32.94,76.67,16.87,134.81,64.82,3.51,106.06,109.11
1.12,78.68,12.75,87.82,6.7,2.83,0.93,109.33,202.76,62,143.89,227.08,18.48,32.06,33.1,77.44,17.13,136.31,65.93,3.5,108.48,109.96
1.13,79.47,12.74,88.46,6.8,2.96,0.93,110.71,201.6,61.92,144.5,226.47,18.63,32.4,33.16,77.33,17.09,136.73,66.1,3.49,108.47,110.23
1.18,78.47,12.72,87.14,6.7,2.91,0.93,108.21,201.55,62.25,144,226.59,18.53,32.01,33.23,77.76,17.08,136.71,66.17,3.48,109.2,109.62
1.13,78.33,12.62,87.06,6.55,2.94,0.92,106.29,200.03,62.17,143.76,226.11,18.66,31.96,33.21,76.89,16.78,137.72,65.31,3.46,108.01,109.41
1.12,78.18,12.63,87.29,6.43,2.91,0.93,107.9,200.82,62.33,144.16,226.78,18.66,32.14,33.3,77.7,17.2,137.88,67.33,3.45,109.3,108.65
1.14,78.84,12.69,87.82,6.43,2.86,0.92,106.83,200.74,62.02,142.93,226.2,18.13,32.44,32.49,76.47,17.03,136.77,66.2,3.43,109.09,107.81
