"D.2TP.PB.","BATS.PB.","ID.GUD.PB.","U.VGR.PB.","U.STZ.PB.","U.TPB.PB.","U.RLX.PB.","U.PM.PB."
1.5,69.1,4.6,18.3,172.17,16.05,0,115.21
1.66,68.09,4.55,18.29,171.91,15.97,0,113.91
1.66,68.52,4.51,18.33,172.94,16.02,0,109.96
1.59,68.29,4.55,18.3,172.09,16.05,0,109.62
1.57,69.97,4.55,18.68,173.03,17.1,0,112.37
1.58,69.48,4.58,18.55,172.56,16.5,0,113.09
1.38,69.71,4.68,18.6,170.42,16.18,0,111.16
1.64,68.76,4.71,18.81,171.06,16.31,0,110.19
1.66,68.5,4.71,18.75,172.54,15.81,0,110.82
1.49,68.94,4.72,18.68,172.09,16.12,0,110.57
1.4,69.15,4.77,18.7,174.6,16.14,0,110.42
1.48,68.71,4.81,18.71,173.75,15.91,0,110.58
1.49,68.81,4.81,18.65,177.23,15.79,0,111.19
1.43,69.42,5.03,19.08,178.51,15.76,0,112.23
1.35,69.86,4.97,18.32,179.51,15.13,0,112.62
1.4,69.75,5.06,18.21,177.77,15.08,0,111.89
1.49,69.77,5.01,18.43,177.56,16.1,0,110.83
1.45,70.13,5.1,18.38,178.3,16,0,111.2
1.4,70.94,5.25,18.35,178.52,15.31,0,111.69
1.31,70.82,5.23,18.44,180.23,15.43,0,112.36
1.23,72.28,5,18.37,182.18,15.5,0,113.5
1.15,71.97,4.98,18.11,180.7,15.41,0,113.75
1.15,70.72,5.1,17.96,180.82,15.44,0,113.58
1.16,70.93,5.4,18.09,182.89,15.6,0,114.74
1.14,71.78,5.27,18.37,184.06,16.83,0,116.21
1.22,71.19,5.17,18.49,180.87,16.77,0,116.45
1.04,71.35,5.23,18.73,178.81,16.56,0,117.41
0.93,72.15,5.28,18.8,180.02,16.18,0,119.45
0.97,73.42,5.27,18.85,180.9,16.29,0,119.81
0.95,73,5.21,18.79,180.39,16.26,0,119.95
0.91,72.25,5.22,18.73,180.51,16.33,0,119.95
0.95,72.57,5.25,18.79,182.75,16.72,0,119.8
0.85,72.33,5.28,18.94,184.59,16.6,0,120.9
0.9,73.27,5.29,19.13,184.54,16.56,0,121.77
0.95,73.28,5.28,19.11,184.45,16.33,0,121.95
0.93,74.07,5.25,18.96,185.76,16.73,0,121.99
0.9,73.33,5.35,19,184.49,16.81,0,122.29
0.93,72.33,5.32,19.29,183.44,16.65,0,121.08
0.9,72.46,5.36,19.36,181.01,16.56,0,120.11
