"U.MGM.PA.","U.LVS.PA.","X.WYNN.PA.","X.BJK.PA.","X.GDEN.PA.","U.BYD.PA.","U.BALY.PA.","X.RRR.PA."
31.68,58.3,125.69,39.48,17.13,24.95,0,24.01
32.21,58.09,127.94,39.35,16.92,25.38,0,24.33
31.15,56.84,122.63,38.86,16.46,24.78,0,23.61
30.96,56.85,122.45,38.82,16.38,24.77,0,23.59
31.25,56.78,121.72,39.03,16.1,25.02,0,23.73
31.58,57.72,125.17,39.48,16.52,25.24,0,23.73
31.31,57.53,124.18,39.54,16.38,25.05,0,23.7
31.19,57.53,124.01,39.5,16.14,25.17,0,23.65
31.6,57.97,124.45,39.71,16.06,25.07,0,23.55
31.82,58.02,125.76,39.68,16.31,25.2,0,23.75
31.94,58.43,126.23,39.61,16.48,25.25,0,23.69
31.88,58.71,126.58,39.65,16.53,25.24,0,23.55
31.73,59.13,128.74,39.88,16.64,25.41,0,23.66
32.27,62.06,133.62,40.35,17.18,25.77,0,23.8
32.53,62.56,134.69,40.71,17.44,25.33,0,23.57
32.18,62.42,133.3,40.58,16.9,25.19,0,23.7
32.49,63.67,132.61,40.38,17.24,25.39,0,23.89
32.77,63.86,132.33,40.76,17.12,25.83,0,24.2
32.77,64.68,134.73,41.13,17.14,25.93,0,24.16
31.99,63.7,129.59,40.7,16.96,24.89,0,23.77
31.59,63.96,130.24,40.59,20.04,24.83,0,23.81
32.1,64.88,134.18,41.47,20.07,25.21,0,24.4
32.34,65.25,133.52,41.44,20.29,25.05,0,24.06
32.59,64.79,134.08,41.14,20.58,25.14,0,23.78
32.61,65.01,134.47,41.1,20.69,25.2,0,23.92
33.18,66.18,138.43,41.59,20.48,25.67,0,24.3
33.18,64.62,137.13,41.49,20.49,25.23,0,23.75
32.97,64.57,137.47,41.47,20.4,24.75,0,23.3
33.27,64.36,137.08,41.4,20.42,24.52,0,23.33
34.16,64.94,138.33,41.45,21.09,25.13,0,24.01
33.86,64.48,137.16,41.6,20.73,25.27,0,23.88
33.73,64.14,135.63,41.13,20.4,24.84,0,23.57
33.71,64.96,135.95,41.31,20.62,25.26,0,23.77
32.89,63.52,132.77,40.8,20.68,24.94,0,23.51
31.3,63.89,134.15,40.92,20.71,24.82,0,23.54
30.56,62.63,131.01,40.9,21.31,24.54,0,23.41
30.88,62.67,131.22,40.57,22,24.68,0,23.24
30.98,62.81,132.42,40.11,21.7,24.76,0,23.11
30.3,61.55,130.91,39.79,20.34,24.42,0,23.1
30.85,61.77,132.49,39.89,20.66,24.82,0,23.47
31.18,62.18,134.96,39.98,20.94,25.2,0,23.79
31.43,61.88,134.29,39.8,21,25.28,0,24.01
31.74,62.26,135.27,39.99,21.13,25.78,0,24.18
31.93,62.17,134.98,40.28,20.97,25.36,0,23.98
31.91,61.07,130.41,40.27,20.42,25.52,0,23.97
31.86,61.13,129.85,39.79,20.58,25.27,0,23.57
32.55,62.49,133.56,40.1,20.73,25.73,0,23.79
32.79,61.91,133.17,40.58,20.89,26,0,23.87
33.75,62.15,132.01,40.4,21.08,25.97,0,24.07
34.04,62.38,134.14,40.59,20.54,25.86,0,23.95
34.02,62.76,138.57,40.89,20.82,26.15,0,24.52
34.26,62.58,138.98,41.31,21.26,26.23,0,24.72
33.88,61.79,132.01,40.93,21.47,26.24,0,24.74
33.43,62.89,128.02,40.67,21.35,25.82,0,24.39
33.15,61.27,128.61,40.64,20.78,25.21,0,24.02
32.95,61.66,129.35,40.67,20.6,25.07,0,23.91
32.47,82.5,128,40.84,20.73,25.4,0,23.89
31.98,60.54,125.94,40.59,20.1,25.62,0,23.65
31.57,60.79,126.36,40.76,20.23,25.57,0,23.54
31.78,60.97,127.51,40.69,20.95,26.02,0,24.06
31.85,61.06,130.28,40.48,20.46,26.68,0,23.9
31.55,60.96,130.11,40.46,20.48,26.3,0,23.71
