"D.2TP.PA.","BATS.PA.","ID.GUD.PA.","U.VGR.PA.","U.STZ.PA.","U.TPB.PA.","U.RLX.PA.","U.PM.PA."
0.86,65.73,4.33,19.52,161.32,13.24,0,103.64
0.86,65.45,4.3,19.54,160.69,13.4,0,104.35
0.9,65.59,4.28,19.59,160.08,13.34,0,104.51
0.83,65.67,4.42,19.68,160.18,13.04,0,104.51
0.82,66.46,4.48,19.69,153.6,13.05,0,106.52
0.81,66.61,4.62,19.74,158.88,13.21,0,107.71
0.86,66.88,4.67,19.85,157.76,13.18,0,108.76
1.16,66.76,4.68,19.69,158.81,13.17,0,109.49
1.08,67.79,4.59,20.02,159.63,13.26,0,110.21
0.93,67.74,4.68,18.8,158.42,13.28,0,109.79
0.98,67.11,4.6,18.44,158.76,13.23,0,110.22
1.05,66.75,4.5,18.35,157.8,13.25,0,109.89
0.91,67.11,4.47,18.19,157.19,13.21,0,110.54
0.98,67.03,4.46,18.24,156.44,13.4,0,109.73
1.05,66.99,4.52,18.37,155.83,13.32,0,110.3
1.06,67.12,4.51,18.58,157.57,13.27,0,110.58
1.04,67.51,4.47,18.5,158.37,13.78,0,111.04
1.04,67.92,4.58,17.99,159.11,13.91,0,110.75
1.04,68.12,4.58,17.92,162.09,14.08,0,112.42
1.01,67.64,4.62,18.03,162.04,14.42,0,112.7
1.01,68.21,4.63,18.19,161.7,14.86,0,112.84
1.15,68.14,4.65,17.75,162.55,15.5,0,114.02
1.1,68.17,4.68,17.54,164.61,15.06,0,113.49
1.03,68.05,4.65,17.16,164.2,15.29,0,113
1.14,67.96,4.67,17.33,162.72,15.59,0,112.95
1.31,69.31,4.63,17.36,164.11,15.48,0,111.8
1.25,68.68,4.61,17.32,163.75,15.86,0,112.39
1.28,68.58,4.6,17.47,162.46,15.44,0,112.8
1.42,69.85,4.65,17.6,163.7,15.34,0,113.43
1.86,69.76,4.74,17.94,162.45,15.19,0,113.52
1.73,69.63,4.67,17.97,162.1,15.6,0,112.93
1.65,69.48,4.76,17.85,161.67,15.72,0,112.92
1.78,69.48,4.81,17.76,161.51,15.64,0,113.47
1.78,69.86,4.83,17.6,161.4,15.58,0,113.18
1.75,69.51,4.83,17.6,171.75,15.77,0,112.59
1.73,70.36,4.84,17.59,170.39,15.94,0,113.61
1.73,70.21,4.76,17.87,171.29,16.26,0,113.08
1.57,70.82,4.66,17.99,170.36,16.11,0,113.45
1.61,70.69,4.61,17.88,169.96,16.01,0,113.78
1.68,70.7,4.6,17.98,168.98,16.14,0,113.07
1.68,70.61,4.59,18.11,168.76,16.09,0,113.63
1.67,70.14,4.59,18.23,170.12,16.02,0,114.8
1.74,69.13,4.61,18.3,172.19,16.07,0,115.22
1.89,68.1,4.56,18.3,171.94,15.98,0,113.93
1.86,68.54,4.52,18.34,172.95,16.04,0,109.98
1.82,68.3,4.56,18.3,172.1,16.06,0,109.64
1.8,69.98,4.56,18.69,173.04,17.11,0,112.39
1.75,69.5,4.58,18.56,172.58,16.51,0,113.1
1.75,69.72,4.68,18.61,170.47,16.3,0,111.17
1.85,68.77,4.72,18.81,171.09,16.37,0,110.21
1.87,68.51,4.72,18.76,172.58,15.83,0,110.83
1.71,68.95,4.73,18.68,172.13,16.15,0,110.58
1.61,69.17,4.77,18.71,174.61,16.15,0,110.43
1.73,68.73,4.82,18.72,173.77,15.95,0,110.59
1.68,68.83,4.83,18.66,177.24,15.87,0,111.2
1.7,69.44,5.07,19.09,178.53,15.77,0,112.25
