"","X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P.","total_market_cap","number_of_stocks","divisor","index"
"146",34741.35,0,0,0,2862,0,25798005.52,0,118424.18,0,0,0,25954033.05,4,2230.46092148298,11636.1747475691
"147",35214.9,0,0,0,2784,0,26066873.91,0,115076.5,0,0,0,26219949.31,4,2230.46092148298,11755.3950654141
"148",34956.6,0,0,0,2826,0,25734545.9,0,121353.4,0,0,0,25893681.9,4,2230.46092148298,11609.1170441954
"149",35473.2,0,0,0,2778,0,25766275.71,0,128676.45,0,0,0,25933203.36,4,2230.46092148298,11626.8360096431
"150",33794.25,0,0,0,2765,0,26335742.3,0,129513.37,0,0,0,26501814.92,4,2230.46092148298,11881.7660801605
"151",32761.05,0,0,0,2729,0,26202143.1,0,130559.52,0,0,0,26368192.67,4,2230.46092148298,11821.8581711211
"152",36162,0,0,0,2729,0,26377492.05,0,130768.75,0,0,0,26547151.8,4,2230.46092148298,11902.0923183668
"153",38056.2,0,0,0,2729,0,26357452.17,0,133279.51,0,0,0,26531516.88,4,2230.46092148298,11895.0825923279
"154",38056.2,0,0,0,2729,0,26357452.17,0,133279.51,0,0,0,26531516.88,4,2230.46092148298,11895.0825923279
"155",37023,0,0,0,2758,0,25575896.85,0,135162.58,0,0,0,25750840.43,4,2230.46092148298,11545.075810106
"156",34913.55,0,0,0,657.36,0,25682424.75,0,138242.1,0,0,0,25856237.76,4,2230.46092148298,11592.3294198801
"157",34569.15,0,0,0,656.64,0,25739196.25,0,145221.75,0,0,0,25919643.79,4,2230.46092148298,11620.7567415109
"158",34569.15,0,0,0,656.64,0,25613965,0,140718.75,0,0,0,25789909.54,4,2230.46092148298,11562.5919699381
"159",41672.4,0,0,0,674.4,0,25897822.5,0,142519.95,0,0,0,26082689.25,4,2230.46092148298,11693.8561885488
"160",38745,0,0,0,679.2,0,25231592.25,0,137116.35,0,0,0,25408132.8,4,2230.46092148298,11391.4270163974
"161",36205.05,0,0,0,699.12,0,25724168.5,0,137791.8,0,0,0,25898864.47,4,2230.46092148298,11611.4405863611
"162",34655.25,0,0,0,692.4,0,25730847.5,0,131037.3,0,0,0,25897232.45,4,2230.46092148298,11610.7088900627
"163",33665.1,0,0,0,692.4,0,25613965,0,122481.6,0,0,0,25770804.1,4,2230.46092148298,11554.0262785082
"164",36807.75,0,0,0,670.8,0,25527138,0,120905.55,0,0,0,25685522.1,4,2230.46092148298,11515.791132051
"165",33406.8,0,0,0,670.56,0,26235112,0,118428.9,0,0,0,26387618.26,4,2230.46092148298,11830.567397906
"166",32976.3,0,0,0,670.56,0,26088174,0,119779.8,0,0,0,26241600.66,4,2230.46092148298,11765.102184598
"167",32287.5,0,0,0,668.16,0,26175001,0,118428.9,0,0,0,26326385.56,4,2230.46092148298,11803.1144623221
"168",32890.2,0,0,0,675.6,0,25722498.75,0,112800.15,0,0,0,25868864.7,4,2230.46092148298,11597.9905547058
