"A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P."
1.08,79.25,12.88,86.31,6.53,3.05,0.82,100.69,193.99,58.42,138.52,220.91,19.08,31.8,34.33,73.59,22.49,135.45,76.05,1.25,101.23,106.72
1.06,76.97,12.86,86.43,6.54,2.99,0.84,99.74,194.18,58.49,137.84,221.26,18.96,32.94,34.2,73.85,22.46,134.78,75.92,1.25,100.62,107.27
1.06,76.91,13,87.02,6.55,2.95,0.83,102.67,194.34,58.19,137.59,220.73,18.73,31.67,33.85,73.99,22.45,135.24,76.31,1.25,100.75,107.56
1.06,78.88,12.96,88.47,6.65,2.89,0.81,106.4,194.96,58.46,138.39,221.26,18.38,30.92,33.56,73.54,22.31,134.32,76.28,1.25,100.16,106.83
1.04,79.42,12.95,88.81,6.55,2.89,0.83,106.4,194.2,58.43,137.33,218,18.27,31.13,33.97,74.63,20.37,129.08,69.75,1.25,99.42,105.98
1.04,79.42,12.95,88.81,6.55,2.89,0.84,103.39,194.2,58.43,137.33,218,18.27,31.13,33.97,74.63,20.37,129.08,69.75,1.25,99.42,105.98
1.04,79.42,12.95,88.81,6.55,2.89,0.84,104.34,194.88,58.34,137.05,219.06,18.31,31.22,33.8,73.82,20.67,130.82,69.5,1.25,100.15,106.24
1.06,78.9,12.9,89.05,6.66,2.87,0.84,103.19,196.68,59.05,138.18,220.76,19.52,32.22,33.96,75.73,20.99,131.86,71.17,1.25,105.74,106.53
1.09,80.43,13.04,89.32,6.72,2.93,0.85,103.44,198.73,59.13,138.46,222.96,19.62,32.3,34.21,75.26,20.74,131.73,69.6,1.25,106.2,106.79
1.14,80.68,12.86,88.8,6.69,2.9,0.85,101.58,197.9,59.04,136.94,221.5,19.63,31.99,33.56,75.67,20.45,131.37,68.38,1.25,106.7,106.67
1.12,80.32,12.72,87.79,6.59,2.82,0.85,102.21,200.31,58.96,137.46,223.11,19.05,32.02,33.73,75.32,21.32,132.34,71.62,1.25,106.67,107.8
1.13,81.73,13.1,88.36,6.59,2.8,0.87,103.44,201.18,59.14,137.9,224.13,18.62,31.83,33.2,74.79,17.5,131.69,65.24,2.5,104.57,107.15
1.07,76.8,12.8,87.65,6.47,2.77,0.87,102.76,202.27,58.9,137.35,225.62,18.54,31.53,32.72,74.65,17.93,130.84,65.5,2.5,103.9,106.42
1.08,77.44,12.81,88.27,6.49,2.8,0.87,103.07,202.1,59.2,140.69,226.63,18.68,31.51,32.69,75.48,18.04,131.72,67.46,2.5,105.98,107.63
1.05,75.99,12.35,87.84,6.46,2.79,0.88,104.54,200.55,59.51,138.94,226.48,18.61,31.14,32.38,75.24,18.2,131.39,66.81,2.5,104.61,106.31
1.06,75.96,12.64,88.22,6.54,2.84,0.89,104.97,200.57,59.76,139.42,226.3,18.3,31.15,32.36,75.25,17.88,132.91,66.11,2.5,105.11,106.74
1.02,77.6,12.71,87.61,6.55,2.82,0.89,107.15,199.51,60.24,139.09,224.65,18.46,31.17,32.39,75.05,17.56,131.9,65.27,1.25,104.74,106.57
1.05,76.71,12.26,87.75,6.59,2.8,0.92,106.52,200.2,60.8,141.31,225.98,18.83,31.05,32.59,75.93,17.43,133.55,65,1.25,103.67,107.61
1.05,79.12,12.62,87.35,6.62,2.87,0.95,107.87,201.13,61.7,143.14,226.38,19.52,31.77,33.05,76.9,17.39,134.32,66.58,1.25,106.39,109.23
1.06,80.24,12.54,87.5,6.71,2.86,0.94,107.98,200.13,61.74,143.62,225.44,19.32,31.56,32.91,75.95,17.4,133.57,67.51,1.25,106.29,109.02
1.06,77.81,12.52,87.84,6.72,2.83,0.94,108.73,201.88,61.68,142.97,225.81,19.14,31.38,32.94,76.67,16.87,134.81,64.83,1.25,106.15,109.13
1.13,78.16,12.75,87.82,6.7,2.83,0.93,109.53,202.79,62.01,143.95,227.14,18.49,32.06,33.1,77.44,17.14,136.29,65.93,1.27,108.49,109.92
1.14,78.97,12.75,88.65,6.8,2.96,0.93,110.88,201.59,61.93,144.47,226.51,18.63,32.4,33.17,77.33,17.1,136.69,66.12,1.27,108.47,110.24
1.18,78.86,12.73,87.23,6.71,2.91,0.93,108.27,201.58,62.24,144.06,226.58,18.54,32,33.25,77.76,17.08,136.71,66.2,1.27,109.2,109.65
1.15,78.86,12.63,87.25,6.55,2.94,0.92,106.29,200,62.18,143.75,226.07,18.67,31.96,33.23,76.89,16.78,137.72,65.3,1.27,108.06,109.41
1.12,78.13,12.63,87.34,6.43,2.91,0.93,108.04,200.75,62.34,144.2,226.83,18.67,32.17,33.32,77.69,17.2,137.9,67.36,1.27,109.38,108.69
1.12,79.17,12.69,87.91,6.43,2.86,0.92,106.83,200.73,62.05,143.01,226.3,18.15,32.47,32.52,76.46,17.04,136.79,66.2,1.27,109.19,107.82
