"X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P."
15.75,0,0,0,31.88,0,165.63,0,7.01,0,0,0
15.75,0,0,0,31.88,0,166.02,0,6.82,0,0,0
15.45,0,0,0,31.72,0,167.12,0,6.99,0,0,0
15.9,0,0,0,31.72,0,163.45,0,7.15,0,0,0
15.45,0,0,0,30.29,0,163.7,0,6.54,0,0,0
11.55,0,0,0,30.41,0,160.07,0,5.89,0,0,0
12.01,0,0,0,30.52,0,159.59,0,7.27,0,0,0
11.55,0,0,0,30.52,0,165.93,0,8.38,0,0,0
12.21,0,0,0,31.6,0,166.55,0,8.65,0,0,0
11.74,0,0,0,30.47,0,153.91,0,9.36,0,0,0
11.43,0,0,0,28.4,0,152.87,0,9.63,0,0,0
11.84,2.3,0,0,27.18,0,152.39,0,9.44,0,0,0
11.96,2.88,0,0,27.21,0,147.94,0,9.32,0,0,0
11.93,2.96,0,0,28,0,152.43,0,10.16,0,0,0
12.11,2.9,0,0,28,0,153.34,0,12.2,0,0,0
11.86,2.96,0,0,27.76,0,154.8,0,11.7,0,0,0
11.72,2.85,0,0,27.44,0,155.16,0,11.97,0,0,0
11.8,2.78,0,0,27.66,0,157.39,0,11.29,0,0,0
11.92,2.32,0,0,27.54,0,156.51,0,9.8,0,0,0
11.88,2.95,0,0,27.54,0,154.57,0,10.23,0,0,0
11.88,2.95,0,0,27.54,0,154.57,0,10.23,0,0,0
12.1,2.65,0,0,27.54,0,156.42,0,9.83,0,0,0
14.34,2.55,0,0,27.47,0,156.27,0,9.22,0,0,0
13.47,2.45,0,0,27.47,0,155.8,0,9.45,0,0,0
13.24,2.51,0,0,27.71,0,151.14,0,9,0,0,0
12.36,2.78,0,0,26.94,0,145.34,19.15,8.96,0,0,0
12.6,2.7,0,0,26.94,0,146.02,18.45,9.5,0,0,0
12.09,2.7,0,0,27.21,0,148.88,15.4,9.73,0,0,0
12.19,2.6,0,0,27.26,0,147.98,16.65,9.78,0,0,0
12.11,2.65,0,0,27.75,0,149.9,16.89,9.51,0,0,0
11.61,2.58,0,0,27.93,0,151.09,17.2,9.84,0,0,0
12,2.6,0,0,28.01,0,152.82,16.95,9.87,0,0,0
