"U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P."
28.61,56.04,91.98,35.01,11.09,19.62,0,22.81
28.69,55.84,90.93,34.64,10.97,19.39,0,22.62
28.74,55.74,90.82,34.79,10.9,19.47,0,22.87
28.5,55.47,92.64,34.81,10.64,19.34,0,22.93
29.01,55.96,94.03,35.06,10.98,19.59,0,23.6
29.6,56.65,96.42,35.22,11.56,20.49,0,23.73
29.48,52.41,95.5,34.85,11.15,20.4,0,23.69
29.79,53.32,103.08,34.95,11.03,20.64,0,23.69
29.11,52.8,102.55,34.65,10.93,20.32,0,23.6
28.8,52.58,101.43,34.78,11.02,20.32,0,23.48
28.56,51.75,97.86,34.94,11.02,20.83,0,23.53
28.8,51.69,97.38,34.84,11.26,21.06,0,23.61
28.86,51.81,96.92,34.99,11.26,21.04,0,23.73
29.05,51.98,97.02,34.69,11.28,20.83,0,23.73
28.56,51.94,97.01,34.58,11.3,20.81,0,23.47
28.64,52.14,97.18,34.53,11.3,20.67,0,23.23
28.62,52.93,98.88,34.68,11.47,20.86,0,23.58
28.53,52.74,98.9,34.98,12.64,20.86,0,23.66
29.16,53.16,98.97,35.18,12.76,20.9,0,23.83
28.65,53.06,97.68,35.5,12.14,20.66,0,23.77
29.6,53,99.79,35.55,12.2,21.33,0,24.03
26.86,52.51,96.72,35.12,11.64,20.26,0,23.5
26.6,52.03,95.91,34.85,11.52,20.35,0,23.37
26.6,52.03,95.91,34.85,11.52,20.35,0,23.37
26.95,52.04,95.97,34.93,11.3,20.16,0,23.38
26.46,51.97,94.75,34.84,11.49,20.02,0,22.98
26.18,51.77,93.84,35.28,11.93,19.87,0,22.68
26.39,52.17,94.01,35.06,12.2,19.75,0,22.34
26.47,52.91,95.51,35.26,12.33,19.7,0,22.1
26.29,52.95,96.15,35.44,11.85,19.67,0,21.97
26.83,54.96,102.71,36.05,12.1,20.1,0,22.12
26.31,53.66,100.15,35.48,12.03,19.69,0,22.09
26.46,53.84,101.04,35.58,11.75,19.56,0,22.34
26.55,54.31,100.37,35.7,11.84,19.94,0,22.35
25.74,54.3,99.46,35.39,11.74,19.77,0,22.01
25.68,53.98,99.23,35.49,11.65,19.89,0,21.27
25.43,53.75,98.99,35.39,11.66,20.03,0,21.17
25.5,54.21,99.55,35.67,11.8,20.34,0,21.73
25.95,55.17,104.3,35.93,13.08,20.3,0,21.7
26.35,55.56,104.7,36.06,13.25,20.32,0,21.67
26.82,56.1,104.75,36.74,13.44,20.34,0,21.95
26.79,56.52,106.17,36.6,13.92,20.21,0,21.85
27.58,57.17,110.19,36.98,13.99,20.4,0,22.19
26.62,57.36,111.64,37.18,13.5,20.33,0,22.19
26.13,55.92,111.75,36.81,13.23,20.03,0,21.63
26.03,55.86,113.35,36.81,13,19.83,0,21.44
25.92,55.59,112.32,37.01,13.12,20.6,0,21.41
25.71,55.62,111.92,37.02,13.05,20.61,0,21.43
26.58,56.63,114.65,37.34,13.18,21.35,0,22
27.17,56.93,115.18,37.84,13.33,21.51,0,22.28
27.29,57.25,115.49,37.85,13.38,21.4,0,22.57
27.33,57.03,114.3,37.85,13.37,21.71,0,22.48
27.4,57.07,114.61,37.7,13.23,22.01,0,22.18
27.75,57.18,116.34,37.72,13.29,21.94,0,21.99
27.82,56.67,116.74,37.69,13.27,21.84,0,22
27.6,56.17,116.68,38.09,13,21.32,0,22
