"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P."
6.79,125.12,92.23,114.2,4.94,25.24,0,1.76,94.56,45.66,252.3,28.51,67.48,30.15,6.78,11.37,0,4.86,10.78,156.05,38.02,92.92,178.93
6.85,127.03,93.12,115.09,4.97,25.34,0,1.77,96.73,46.26,252.84,28.76,68.43,30.2,6.78,11.37,0,4.95,10.9,156.84,38.09,95.73,177.9
6.91,129.27,93.92,115.38,4.89,25.39,0,1.77,96.88,46.12,255.07,28.85,67.74,30.11,6.78,11.37,0,5.02,10.84,156.71,38.24,96.88,179.81
6.88,129.68,94.27,115.9,4.9,25.26,0,1.77,97.11,46.04,253.79,28.11,66.6,29.63,6.84,11.19,0,5.01,10.76,158.05,37.96,96.68,179.48
6.88,133.14,95.9,117.97,5.01,25.57,0,1.78,99.98,46.12,253.27,27.79,66.22,29.72,6.84,11.19,0,5.06,10.95,157.3,38.64,97.75,176.62
6.85,133.89,95.99,119.59,5.04,25.59,0,1.78,99.2,45.55,248.34,27.29,66.39,28.92,6.96,10.94,0,5.07,10.84,156.01,39.02,96.78,178.03
6.85,132.04,94.78,113.76,4.98,25.2,0,1.89,98.66,45.21,250.35,27.37,67.95,28.86,6.85,10.99,0,5.07,10.77,155.16,37.51,95.52,173.31
6.84,130.72,94.38,111.28,4.92,24.86,0,1.94,98.66,45.21,257.67,27.91,69.61,29.04,6.94,10.76,0,5.06,10.8,154.85,37.3,95.63,159.41
6.84,131.81,93.59,111.45,4.95,24.84,0,2,97.35,46.06,254.67,28.27,70.45,28.85,6.95,11.04,0,5.05,10.71,156.84,37.62,96.44,157.67
6.77,130.6,93.43,110.53,4.97,24.7,0,1.98,97.73,45.69,253.98,28.43,70.34,29.26,6.86,10.79,0,5.08,10.76,156.25,37.34,96,156.43
6.72,130.48,94.27,110.66,5,24.6,0,2.04,98.66,45.72,255.04,28.86,70.71,29.26,6.74,10.81,0,5.12,10.64,156.64,37.79,95.81,156.48
