"","A:TWEX(FFNOSH)","B:ABI(FFNOSH)","H:HB(FFNOSH)","F:RCD(FFNOSH)","I:CPR(FFNOSH)","DGE(FFNOSH)","K:BBCA(FFNOSH)","K:CHRE(FFNOSH)","DK:CAB(FFNOSH)","DK:RBR(FFNOSH)","CN:KCM(FFNOSH)","CN:YWU(FFNOSH)","CN:JYB(FFNOSH)","CN:TTB(FFNOSH)","IN:MLC(FFNOSH)","IN:UBB(FFNOSH)","MX:BEC(FFNOSH)","BR:AVS(FFNOSH)","CL:CVZ(FFNOSH)","U:STZ(FFNOSH)","U:BF.B(FFNOSH)","U:TAP(FFNOSH)","U:SAM(FFNOSH)"
"03/11/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/14/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/15/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/16/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/17/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/18/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/21/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/22/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/23/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/24/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/25/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/28/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/29/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/30/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"03/31/16","681465","814809","215771","182070","569184","2369432","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","165750","288796","149617","7484"
"04/01/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
"04/04/16","681465","814809","215771","182070","569184","2369727","0","1170074","97975","45795","477426","1667595","523282","290781","65715","92841","0","4434474","27157","166276","283030","149631","7448"
