"X.AMRS.PB.","X.GRWG.PB.","U.YOLO.PB.","U.CNBS.PB.","U.MJ.PB.","X.POTX.PB.","U.STZ.PB.","U.IIPR.PB.","X.CARA.PB.","X.TLRY.PB.","X.SNDL.PB.","X.CNTTQ.PB."
7.59,3.39,0,0,27.08,0,155.79,15.5,17.48,0,0,0
7.5,3.46,0,0,27.57,0,157.56,15.45,15.8,0,0,0
7.49,3.54,0,0,27.58,0,158.36,15.67,15.31,0,0,0
6.94,3.62,0,0,27.3,0,159.1,15.69,14.7,0,0,0
7,3.69,0,0,27.91,0,162.07,16.77,15.56,0,0,0
7.44,3.77,0,0,28.26,0,162.02,16.89,15.64,0,0,0
7.42,3.85,0,0,28.06,0,161.68,16.88,15.37,0,0,0
7.38,3.93,0,0,28.3,0,162.54,17.2,16.16,0,0,0
7.37,4.01,0,0,28.1,0,164.56,16.8,15.56,0,0,0
7.35,4.09,0,0,27.9,0,164.18,17.25,16.08,0,0,0
7.32,4.17,0,0,27.9,0,162.71,16.5,16.68,0,0,0
7.29,4.25,0,0,28.12,0,164.07,16.35,16.75,0,0,0
7.31,4.34,0,0,28.25,0,163.73,16.45,18.14,0,0,0
7.43,4.42,0,0,28.25,0,162.45,16.59,19.08,0,0,0
7.96,4.5,0,0,28.44,0,163.69,17.04,20.23,0,0,0
7.89,4.59,0,0,28.44,0,162.44,17,18.73,0,0,0
7.8,4.67,0,0,28.44,0,162.08,17.09,18.31,0,0,0
7.77,4.76,0,0,29,0,161.66,17.2,17.92,0,0,0
7.38,4.85,0,0,28.86,0,161.48,17.67,17.41,0,0,0
6.6,4.93,0,0,29,0,161.36,17.4,17.58,0,0,0
7.13,5.02,0,0,29.01,0,171.71,18.01,18.64,0,0,0
7.5,5.11,0,0,29.15,0,170.37,18,18.2,0,0,0
7.2,5.2,0,0,29.35,0,171.28,18,18.57,0,0,0
7.21,5.29,0,0,29.15,0,170.35,18.1,18.86,0,0,0
8.7,5.38,0,0,29.05,0,169.92,18.15,18.15,0,0,0
10.12,5.47,0,0,28.82,0,168.97,18.16,17.53,0,0,0
10.89,5.56,0,0,29.08,0,168.74,18.28,17.21,0,0,0
10.48,5.66,0,0,29.46,0,170.08,18.29,17,0,0,0
8.98,5.75,0,0,29.35,0,172.17,18.09,16.9,0,0,0
8.29,5.84,0,0,28.95,0,171.91,18.08,17.25,0,0,0
7.55,5.94,0,0,29.12,0,172.94,18,17.07,0,0,0
8.01,6.03,0,0,29.1,0,172.09,18.3,16.52,0,0,0
7.62,6.13,0,0,29.33,0,173.03,17.45,16.6,0,0,0
7.76,6.22,0,0,29.36,0,172.56,17.71,16.37,0,0,0
8.34,6.32,0,0,29.05,0,170.42,17.65,15.95,0,0,0
8.21,6.41,0,0,29.05,0,171.06,17.8,15.94,0,0,0
8.11,6.51,0,0,29.22,0,172.54,17.92,15.88,0,0,0
7.87,6.61,0,0,29.34,0,172.09,17.61,15.67,0,0,0
7.98,6.71,0,0,29.74,0,174.6,17.35,14.91,0,0,0
8.1,6.81,0,0,29.75,0,173.75,16.8,15.92,0,0,0
7.86,6.91,0,0,29.5,0,177.23,16.89,14.93,0,0,0
7.99,7.01,0,0,29.68,0,178.51,16.85,14.67,0,0,0
5.03,7.11,0,0,29.64,0,179.51,17.2,14.5,0,0,0
4.87,7.21,0,0,29.65,0,177.77,17.53,15.19,0,0,0
5.07,7.31,0,0,30.03,0,177.56,17.42,15.36,0,0,0
4.94,7.42,0,0,30.14,0,178.3,17.76,15.99,0,0,0
