"A.TWEX.PA.","B.ABI.PA.","H.HB.PA.","F.RCD.PA.","I.CPR.PA.","DGE.PA.","K.BBCA.PA.","K.CHRE.PA.","DK.CAB.PA.","DK.RBR.PA.","CN.KCM.PA.","CN.YWU.PA.","CN.JYB.PA.","CN.TTB.PA.","IN.MLC.PA.","IN.UBB.PA.","MX.BEC.PA.","BR.AVS.PA.","CL.CVZ.PA.","U.STZ.PA.","U.BF.B.PA.","U.TAP.PA.","U.SAM.PA."
6.94,117.63,85.8,113.34,4.24,24.66,0,1.5,92.08,43.41,221.22,24.04,60.25,27.65,7.57,11.38,0,4.69,9.73,143.64,41.36,86.62,192
6.96,117.86,85.78,113.41,4.21,24.5,0,1.46,92.39,43.4,226.42,24.42,61.29,27.85,7.78,11.45,0,4.66,9.87,142.04,40.04,85.19,188.95
7.08,119.53,85.54,113.16,4.18,24.42,0,1.49,91.7,43.33,223.9,23.4,60.27,27.69,7.6,11.52,0,4.66,10.03,141.42,39.39,85.26,188.07
6.91,120.62,88.29,115.78,4.34,24.71,0,1.5,92.94,43.41,227.75,23.79,61.66,27.8,7.52,11.53,0,4.82,10.16,144.51,39.07,86.54,189.26
6.98,120.28,87.47,113.33,4.39,24.46,0,1.78,92.16,44.22,233.51,24.86,65.15,28.95,7.18,11.49,0,4.79,10.31,143.76,38.49,86.61,195.07
6.89,119.53,86.39,112.88,4.41,24.34,0,1.85,92.63,45.81,237.27,25.52,66.67,28.91,7.06,11.48,0,4.87,10.38,144.45,38.74,88.54,199.7
6.95,122.18,87.53,114.66,4.49,24.61,0,1.77,93.32,46.35,248.71,26.23,68.8,28.65,6.93,11.51,0,5.05,10.48,143.89,39.2,90.22,198.64
6.82,121.84,87.37,114.01,4.49,24.42,0,1.77,93.17,45.45,243.5,26.41,67.75,29.21,6.92,11.51,0,5.07,10.42,138.77,39.02,89.35,199.58
6.86,120.51,87.65,113.76,4.43,24.52,0,1.76,92.01,45.66,238.84,26.11,67.83,28.97,6.97,11.5,0,5.03,10.44,139.97,39.22,88.44,175.21
6.91,121.78,89.12,115.32,4.49,24.73,0,1.72,92.08,45.9,236.84,25.82,67.77,28.46,6.91,11.49,0,4.93,10.48,140.28,38.94,90.37,175.74
6.92,120.05,88.22,114.56,4.52,24.32,0,1.71,92.24,45.42,237.72,26.18,69.22,28.36,6.67,11.45,0,4.92,10.72,140.5,39.01,91.84,180.04
6.91,121.55,90,116.65,4.59,24.61,0,1.77,93.55,46.04,237.43,26.45,68.07,28.26,6.78,11.4,0,4.81,10.63,142.06,39.16,92.45,184.17
